0,0,100,100,100,100,99,99,81,13,2,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,72,15,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,97,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,100,99,88,20,1,0,0,0,0,0,0,0,0,0
0,0,100
0,0,100,100,100,100,100,95,61,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,96,41,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,78,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,98,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,100,93,47,5,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,99,82,14,1,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,92,27,1,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,95,61,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,100,97,81,22,3,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,99,74,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100
0,0,100,100,100,100,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,100,97,56,1,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,67,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,92,33,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,99,98,96,92,70,5,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,99,99,100,99,72,26,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,100,94,70,6,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,91,31,4,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,94,43,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,100,100,100,100,96,61,6,0,0,0,0,0,0,0,0,0,0,0
