0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
214,215,218,219,221,223,224,226,227,229,231,233,235,237,238,240,242,243,245,246,248,250,252,253,255,257,258,260,262,264,265,267,269,271,272,274,275,277,279,280,282,285,286,287,289,290,293,294,296,297,300,301,303,304,306,308,309,311,313,314,316,317,319,321,322
247,248,249,251,253,255,256,257,259,261,262,264,266,267,268,270,271,273,274,276,277,279,281,282,283,285,286,289,290,291,292,294,296,297,299,301,302,303,305,306,308,309,311,312,313,315,317,318,320,321,322,325,325,328,328,330,332,333,335,336,337,339,341,342,343
