0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
214,219,226,232,239,246,251,257,263,270,276,282,289,296,302,308,314,320,326,332,338,345,351,358,364,370,376,382,389,394,401,408,414,419,425,432,439,445,450,457,463,470,475,481,487,494,500,506,512,517,523,529,535,542,546,552,558,562,567,573,578,582,588,592
247,252,258,263,269,274,280,285,291,297,302,308,314,319,325,331,336,341,347,352,358,363,369,375,380,386,391,397,402,408,414,419,424,430,435,441,447,452,458,462,468,474,479,485,490,496,501,506,511,516,521,527,532,537,542,548,552,557,561,566,569,574,578,582
