0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
214,222,228,236,241,249,256,264,273,280,287,294,301,309,314,322,327,335,341,349,355,363,369,376,385,392,399,407,412,419,426,433,445,453,459,466,473,480,486,494,502,509,516,522,528,536,541,549,552,559,565,570,576,582,586,592,598,604,607,612,616,619,622,625
247,254,259,267,273,279,285,292,300,306,312,319,324,331,337,343,348,354,361,367,372,379,385,391,399,405,411,418,424,430,435,442,453,459,465,471,477,483,489,496,503,510,514,521,526,533,538,543,547,553,558,564,569,574,578,583,589,593,596,600,604,607,610,612
