0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
154,156,159,162,165,168,171,173,176,179,182,186,188,191,194,197,200,202,205,209,211,214,217,220,223,225,229,231,234,238,241,243,246,249,252,255,257,261,262,266,268,271,274,278,280,284,286,289,292,294,297,301,303,306,310,312,316,319,321,324,327,330,333,336,338,341,345,348,350,352,356,360,362,366,368,371,374,377,380,382,385,388,391,393,396,399,402,406,408,411,413,417,419,422,426,429,431,433,437,440,442,446,449,451,454,458,461,464,466,469,472,476,478,481,484,487,489,493,496,497,501,503,506,509,511,514,516,519,523,526,528,530,534,537,539,542,545,548,551,553,556,558,561,564,567,569,573,577,578,581,584,587,589,592,594,598,600,603,605,608,610,612,615,617,620,622,625,628,629,631,633,635,637,639,641,644,646,648,649,650,652,654,655,657,658,660,661,663,665,666,667,669,670,672,673,674,676,677,677,679,680,680,682,682,684,685,686,687,688,688,689,690,690,691,693,693,693,694,694,695,696,697,698,698,698,698,699,701,701,701,702,703,703,704,704,705,705,705,706,706,706,707,708,709,709,709,709,710,710,710,711,711,712,712,712,712
193,195,198,201,202,205,208,210,213,215,219,221,223,226,229,231,234,237,239,242,245,247,250,253,255,257,260,262,265,268,270,273,275,278,280,283,285,288,290,293,296,299,301,303,306,309,311,314,317,319,321,324,326,329,332,334,337,339,342,344,348,350,353,355,358,361,363,366,368,370,373,376,379,382,384,386,389,391,395,396,399,401,404,406,409,411,414,416,419,422,425,427,429,432,435,437,439,442,445,448,451,453,456,458,460,464,467,470,471,474,476,479,482,484,486,489,492,494,497,499,502,505,507,509,511,513,516,518,521,523,526,529,531,534,537,539,541,543,546,548,550,553,556,558,560,563,566,569,572,573,576,577,580,582,585,587,590,592,594,596,599,601,603,606,607,609,611,613,617,617,619,621,623,625,626,629,630,632,634,635,636,638,640,641,641,643,645,646,647,649,649,651,652,653,655,655,657,657,659,658,661,662,662,662,664,665,666,666,667,668,669,670,670,671,672,672,672,673,674,674,675,675,677,677,677,678,678,679,679,680,681,681,681,682,683,683,683,683,684,684,685,686,686,686,686,687,687,687,688,687,688,688,689,690,689,690
