0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
214,215,216,218,219,220,221,222,223,225,226,226,229,230,231,232,235,237,238,238,240,242,243,244,245,246,247,249,250,251,253,254,256,257,258,259,261,262,264,265,265,266,268,269,271,273,273,274,277,278,279,281,282,282,285,286,287,288,290,290,292,293,295,296,295
247,247,249,249,251,253,253,254,255,256,257,259,260,261,262,263,265,267,267,269,271,271,272,273,275,276,277,278,280,281,282,283,284,285,286,287,288,290,290,292,293,294,295,296,298,299,300,301,303,304,305,306,308,309,310,311,312,313,314,315,317,318,319,320,319
