0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
214,221,226,234,240,246,253,260,266,274,280,287,293,300,305,313,322,329,334,342,348,355,361,368,375,382,388,395,401,408,414,422,430,438,444,451,457,463,469,476,484,490,496,502,510,516,522,528,537,542,549,555,560,567,571,577,582,588,592,597,601,606,609,613
249,254,259,265,270,277,282,288,294,301,306,313,317,323,329,336,343,349,355,361,366,373,378,384,390,396,402,408,414,420,425,432,440,447,451,458,462,469,474,480,486,493,498,504,509,515,520,526,534,539,544,550,555,560,565,569,574,579,583,587,591,594,598,601
