0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
213,215,216,218,220,221,222,224,225,226,228,229,231,232,234,235,237,238,239,241,243,245,245,247,249,250,252,253,255,256,257,259,258,259,261,262,265,265,267,268,270,271,273,274,275,277,278,279,282,283,284,287,287,289,290,292,293,294,296,297,299,301,302,304,304
247,247,249,250,252,253,254,256,257,257,259,260,262,264,265,266,267,269,270,271,273,274,275,277,278,279,280,282,283,285,285,287,286,287,289,290,292,293,295,295,296,298,299,301,302,303,304,305,307,308,310,311,313,314,315,316,318,319,320,321,322,324,325,326,326
